question,options,correct_letter,original_letter,original_correct,word_perturbed_question,word_letter,word_perturbed_correct,char_perturbed_question,char_letter,char_perturbed_correct,clare_perturbed_question,clare_letter,clare_perturbed_correct,perturbation_pct
Thiamine deficiency decreases cellular metabolism because:,"['Thiamine is a coenzyme for pyruvate dehydrogenase and alfa-ketoglutarate dehydrogenases', 'Activity of transketolase is inhibited', 'It is required for the process of transamination', 'It is a cofactor in oxidative reduction']",A,B,0,Thiamine deficiency step-down cellular metabolism because:,A,1,Thiamine deficiency decreases cellualr metabolism because:,A,1,Thiamine deficiency decreases cellular acid metabolism because:,A,1,30
Which of following causes lysis of clot :,"['Fibrin', 'Plasmin', 'Hyaluronidase', 'Coagulase']",B,B,1,Which of succeed movement lysis of clot :,B,1,Wghich of followig causes lysis of clot :,B,1,Which of viruses causes lysis of clot :,D,0,30
What is the effective management of a dengue patient with warning signs without shock and haemorrhage-,"['Steroids', 'Platelet transfusion', 'IV fluids', 'Antiviral']",C,C,1,What is the effectual direction of a dengue patient with admonition signaling without shock and haemorrhage-,C,1,What is the effective management of a dengue paitent with warzning sSgns without shock and haemrrhage-,C,1,What is the effective management of a dengue patient with warning signs without major shock and haemorrhage-,C,1,30
The current bar clasp design used is:,"['Mesio-occlusal rest', 'Disto-occlusal rest', 'Mesial or distal depending on the situation', 'Choice of the dentist']",A,A,1,The current blockade hold design victimized is:,A,1,The cxurrent abr dlasp design used is:,D,0,The current gold bar clasp design used is:,A,1,50
A term gestation newborn developed respiratory distress. Which of the following would favour Respiratory distress syndrome (HIVID) ?,"['History of receiving antenatal corticosteroids', 'Air bronchogram on chest x–ray', 'Onset of distress after 6 hours of birth', 'Term birth']",B,B,1,angstrom term maternity neonate develop respiratory hurt. Which of the watch would prefer Respiratory straiten syndrome (HIVID) ?,B,1,A term gestation newborn develophd respiuatory distreOss. WhicC of the following would fvaour Respiratory diEstress synrome (HVIID) ?,B,1,A term ary newborn developed respiratory distress. Which of the following would favour Respiratory distress syndrome (HIVID) ?,B,1,50
Which of the following disorder of mother leads to microcephaly in baby –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,"['ab', 'cd', 'bd', 'ac']",B,B,1,Which of the followers distract of generate tip to nanocephaly in cocker –a)  SLEb)  Hepatitis ampere C) Phenylketonuriad)  rubella,B,1,Whcih of the fllowing disordear of motehr leas to microcephaly in baNy –a)  SEb)  Hepatiti A c) Phenylktonuriad)  Rubella,B,1,Which of the following disorder of mother leads potentially to microcephaly in baby –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,B,1,50
A young patient has been admitted with A and had massive hemorrhage. He needs to be transfused with large amounts of fluids. Which IV cannula is preferred?,"['Grey', 'Green', 'Blue', 'Pink']",B,B,1,ampere offspring patient has been hold with angstrom and had monolithic bleeding. helium want to be transfused with boastfully sum of fluid. Which quaternary cannula is favour?,C,0,A yoAung pateint has been admited with A and had mssive hemoyrrhage. eH needs to be tarnsfused with Darge amoutns of fluilds. Wihch IHV cannula is preferrMd?,B,1,A young patient has been admitted with A and had flash hemorrhage. He needs to be transfused with large amounts of contaminated fluids. Which IV cannula is preferred?,B,1,50
Centrineuraxial (spinaland epidural) anaesthesia is not contraindicated in,"['Platelets <80,000', 'Patient on aspirin', 'Patient on oral anticoagulants', 'Raised intracranial pressure']",B,B,1,Centrineuraxial (spinaland extradural) anesthesia is not contraindicate in,B,1,Centrineuraxila (spinaland epdural) aneasthesia is not contraindiMcated in,B,1,Centrineuraxial (spinaland epidural) anaesthesia is not always contraindicated in,B,1,50
In a patient of heart disease antibiotic prophylaxis for dental extraction is:,"['Amoxicillin.', 'Imipenem.', 'Gentamicin.', 'Erythromycin.']",A,A,1,in a patient of nitty-gritty disease antibiotic prophylaxis for alveolar descent is:,A,1,I a patien of hQart disease antijiotic prophylaxsi for dental extractioo is:,A,1,In a patient of heart disease IV prophylaxis for dental extraction is:,A,1,50
Urine analysis of a patient with hematuria and hypercalciuria is most likely to reveal;,"['Isomorphic RBCs', 'RBC casts', 'Nephrotic range proteinuria', 'Eosinophiluria']",A,A,1,pee psychoanalysis of a patient with haematuria and hypercalcinuria is most potential to discover;,B,0,Urice analyiss of a ptient with hemazturia and hypercalcipuria is most liksely to reNveal;,B,0,Urine analysis of a patient admitted with hematuria and hypercalciuria is most likely to reveal;,B,0,50
Which Hodgkin’s disease is associated with best prognosis?,"['Lymphocytic predominance', 'Lymphocyte depletion', 'Mixed cellularity', 'Nodular sclerosis']",A,A,1,Which Hodgkin’s disease is consociate with practiced forecast?,D,0,Which Hodgkn’s diJease is assocaited with best progonsis?,A,1,Which Hodgkin’s disease is falsely associated with best prognosis?,B,0,50
"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?","['No vaccine', '2 doses of vaccine on day 0 and 3', 'Full 5 doses of vaccines', 'Rabies Ig and full vaccination']",B,B,1,"child has obtain replete madness inoculation in Dec 2018 and now introduce with exudate weave on dandy toenail and the darling had inoculation besides, what would you do now?",D,0,"Child has recevied fuwl rIabies vacmination in eDcember 2018 and now presnted with oozTng wonud on gerat oe and the peGt had vacination alos, what woulA you do now?",D,0,"Child has received full rabies vaccination in December 2018 and unfortunately now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?",D,0,50
Which of the following markers is not used in quadruple test for antenatal detection of Down syndrome?,"['AFP', 'ss-hCG', 'Estradiol', 'Inhibin']",C,D,0,Which of the undermentioned mark is not put-upon in quartette tryout for antepartum catching of pile syndrome?,D,0,which of the followign makrers is not usUd in quadruple tesA for antenataf detection of own syndorme?,D,0,Which of the following markers is not used in quadruple test for antenatal detection of developmental syndrome?,D,0,50
Which of the following is inclusion of cytoplasm?,"['Endoplasmic reticulum', 'Ribosome', 'Golgi body', 'Glycogen']",D,D,1,Which of the pursual is comprehension of cytol?,A,0,Whlich of the followng is inclusqion of yctoplasm?,A,0,Which of the following is inclusion of error?,D,1,50
Which of the following is not a risk factor for malignancy,"['DNA aneuploidy', 'Male gender', 'Invasive candidiasis', 'Leukoplakia in non smokers']",B,C,0,Which of the survey is not a peril element for malignance,C,0,Whih of the Ufollowing is not a riVk fattor for mlaignancy,B,1,Which of the factors is not a risk factor for malignancy,C,0,50
A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which of the following is the most likely cause –,"['Diabetes insipidus', 'Acute necrosis', 'Severe dehydration', 'Excessive intake of sodium']",D,D,1,amp front feed tyke acquaint with hypernatremia (serum sodium > 170m eq/l). His water Na is seventy meq/L. Which of the come is the most likely reason –,D,1,A breast fed chTld Wresents with xypernatremia (Sreum sodium > 1a0m EVq/L). Hsi urine sdium is 7t KEq/L. Whgich of the followng is the most likeyl causY –,D,1,A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which action of the following is the most likely cause –,D,1,50
Fill the missing data in the common risk factor approach diagram.,"['Diet and smoking', 'Smoking and disease', 'Smoking and prevention', 'Prevention and diet']",A,A,1,filling the missing data in the park gamble component near diagram.,B,0,EFill the missing data in the commpn ris facto apProach diagram.,A,1,Fill the missing data in view the common risk factor approach diagram.,A,1,50
Brachycephaly is due to fusion of –,"['Parietal suture', 'Sagittal suture', 'Lambdoid suture', 'Coronal suture']",D,D,1,brachycephalism is referable to merger of –,B,0,Brachycephayl is deu to fujion of –,B,0,Brachycephaly is absent due to fusion of –,B,0,50
"Tendon of Gracilis, Sartorius and semitendenous muscles insert on tibia to form Pesanserinus. Similar structure is seen in","['TMJ', 'Parotid', 'Submandibular gland', 'Cheek']",B,A,0,"tendon of Gracilis, sartorius and semitendenous sinew introduce on shin to manikin Pesanserinus. interchangeable construction is figure in",B,1,"Tendno of Grafilis, SartSorius and semitenenous muscles insert on tiba to fMrm PesanseZrinus. SimiZar wtructure is seen in",B,1,"Tendon of anterior Gracilis, Sartorius and semitendenous muscles insert on tibia to form Pesanserinus. Similar structure is seen in",A,0,50
Suprasellar cystic mass in children is –,"['Medulloblastoma', 'Craniopharyngioma', 'Meningioma', 'Secondaries']",B,B,1,Suprasellar cystic aggregated in minor is –,B,1,Suprasellr cytsic mass in chidlren is –,B,1,Suprasellar cystic mass pneumonia in children is –,B,1,50
The drug which gives orange colour to the urine is:,"['Rifampicin', 'Ethambutol', 'INH', 'Streptomycin']",A,A,1,The dose which leave Orange colourise to the pee is:,A,1,hTe dug which gwives roange colour to the urien is:,A,1,The drug which specifically gives orange colour to the urine is:,A,1,50
Highest level of evidence is seen in:,"['Case control studies', 'Meta-analysis', 'Cohort studies', 'Systematic review']",B,B,1,gamy level of prove is meet in:,A,0,Highest levYl of evideMnce is seaen in:,A,0,Highest level of evidence which is seen in:,B,1,50
Most common route for metastasis of oral cancer is by:,"['Direct extension', 'Lymphatics', 'Blood vessels', 'Aspiration of tumor cells']",B,B,1,about green path for metastasis of viva Cancer is by:,B,1,Mots cUommon routa for metastasis of oal canfcer is by:,B,1,Most common route cleared for metastasis of oral cancer is by:,B,1,50
Excision of the submandibular gland for calculus or tumours is done by incision below angle of the jaw. Special care should be taken to avoid which nerve?,"['Ansa cervicalis', 'Mandibular branch of facial nerve', 'Posterior auricular nerve', 'Submandibular ganglion']",B,B,1,extirpation of the submandibular secreter for concretion or tumor is suffice by prick below lean of the natter. peculiar fear should be ask to void which brass?,B,1,Ecxision of the submanxdibular glaud for calculWus or tuZours is odne by ncision below ange of the jw. Special icare should be takMn to avoiI which Snerve?,B,1,Excision of the submandibular gland for calculus or throat tumours is done by incision below angle of the jaw. Special care should be taken to avoid which nerve?,B,1,50
A 8-years-old patient comes to you with malocclusion what will be your line of treatment:,"['Wait and watch till canine erupts', 'Extraction a and orthodontic treatment', 'Serial extraction', 'Immediate intervention with removal appliance']",A,A,1,adenine 8-years-old patient total to you with malocclusion what will be your lineage of intervention:,A,1,A 8-yaers-old patien coms to you with malocclusin what will be your liee of rteatment:,A,1,A 8-years-old patient comes to you with malocclusion what will be your line of healthcare treatment:,A,1,50
Occluded submandibular salivary duct can be best observed by,"['Palpation', 'Sialography', 'Occlusal X-ray', 'Thermography']",B,B,1,sorbed submandibular salivary channel can be right mention by,B,1,Occlruded submandibulal salivyary duct can be best observeWd by,B,1,Occluded submandibular salivary duct ies can be best observed by,B,1,50
In pregnancy cardiac output increases 30 to 40% during?,"['20th week of pregnancy', '22 weeks of pregnancy', '24 weeks of pregnancy', '28 weeks of gestation']",D,D,1,In pregnancy cardiac outturn growth XXX to twoscore% during?,D,1,In Vpregnancy cardiac utput inScreases 3 to 40% during?,D,1,In pregnancy infertility increases 30 to 40% during?,A,0,50
What is the angle subtended by the largest letter in the Snellen cha on a person's eye who is reading it from a distance of 6 meters?,"['1 minute', '10 minutes', '50 minutes', '60 minutes']",C,A,0,What is the lean delimit by the big missive in the Snellen cha on a person's eyeball who is take it from a aloofness of hexad metre?,A,0,oWhat is the angl subteided by the largyst letetr in the Snelln kha on a personn's eHe who is readiXg it from a disfance of 6 metres?,B,0,What is the angle subtended by the singular largest letter in the Snellen cha on a person's eye who is reading it from a distance of 6 meters?,A,0,50
"In a skeletal Class III, the value of ANB will be:","['-10', '2', '4', '6']",A,A,1,"IN a pinched grade trio, the respect of ANB will be:",A,1,"LIn a skeletal Cass IIFI, the valuWe of MANB will be:",A,1,"In a skeletal Class Sector III, the value of ANB will be:",A,1,50
"Injury to which of the following deep pa of perinea! body causes cystocele, enterocele and urethral descent?","['Pubococcygeus', 'Ischiocavernosus', 'Bulbospongiosus', 'Sphincter of urethra and anus']",A,A,1,"injury to which of the survey rich dad of perinea! trunk effort colpocystocele, enterocele and urethral downslope?",A,1,"Injuty to which of the following dee pa of pHrinea! ody causes ycstocele, enlterocele and ureythral Oescent?",D,0,"Injury to which of the following deep pa of atro! body causes cystocele, enterocele and urethral descent?",A,1,50
"10-year-old boy visits dentist with complicated crown fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?","['Apexification of 12 and RCT of 11', 'Revascularization in 12 and RCT of 11', 'RCT of 12 and 11', 'Extraction of 12 and RCT in 11']",B,B,1,"10-year-old son natter dentist with elaborate tip faulting with abscess organization in xii. X-radiation uncover radiolucency in telling to xi, twelve. XII is having unripened  blunderbuss duct while 11 has double-dyed theme shaping, verve of xi, xxi is minus. What would be the direction of this patient?",B,1,"10-year-old byo yisits dentist with complicated croZn fracure with absess forRation in 21. Xr-ay revtals radioluceny in erlation to J1, 2. 12 is having mimature  blunderbsus cGnal while 11 has complete rDot formaation, vitality of 11, o1 is neghative. that wtould be the mangaement of this patient?",B,1,"10-year-old boy visits dentist with complicated crown fracture with abscess formation in 12. Visual X-ray reveals radiolucency in relation to symptoms 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?",B,1,50
Hypercementosis of whole dentition is seen in,"['Hypophosphatasia', 'Achondroplasia', 'Pagets disease', 'Fibrous dysplasia polyostotic type']",C,C,1,Hypercementosis of totally teething is catch in,C,1,Hypercemenosis of whole dentPtion is seien in,D,0,Hypercementosis of male whole dentition is seen in,C,1,50
Which of the following structures is not of ectodermal origin:,"['Hunter-schreger bands', 'Enamel spindles', 'Enamel tufts', 'Enamel lamellae']",B,D,0,Which of the come structure is not of ectodermic descent:,B,1,Whch of the follJowing structurs is not of ectoderaml roigin:,D,0,Which of perhaps the following structures is not of ectodermal origin:,D,0,50
The term poikilokaryosis refers to,"['Alteration of nuclear cytoplasmic ratio', 'Division of nuclei without division of cytoplasm', 'Large, prominent nuclei', 'Loss of polarity and disorientation of cells']",B,B,1,The condition poikilokaryosis denote to,B,1,Te taerm poikilokaryosis refers to,B,1,The term poikilokaryosis therefore refers to,B,1,50
The best finish line for anterior metal ceramic crown is,"['Chamfer with bevel', 'Heavy chamfer', 'Shoulder', 'Shoulder with bevel']",D,D,1,The beneficial destination describe for prior metal ceramic cap is,D,1,The biest finigh lihne for anterior mtal cearmic crown is,A,0,The unique finish line for anterior metal ceramic crown is,D,1,50
Which of the following resembles caries in radiographs?,"['Zinc oxide eugenol', 'Zinc phosphate', 'GIC', 'Polymethyl methacnilate']",D,A,0,Which of the come resemble cavity in skiagram?,B,0,Wihch of the folloGing resembles carie in ardiographs?,A,0,Which pictures of the following resembles caries in radiographs?,A,0,50
The material used in its pure form in dentistry is:,"['Composite', 'Silver', 'Gold', 'Amalgam']",C,C,1,The corporeal employ in its utter organise in odontology is:,D,0,Teh maerial Dsed in its pur forVm in dentistry is:,D,0,The material used in its pure form in dentistry nowadays is:,C,1,50
"The effectiveness of condensing porcelain powder to
reduce shrinkage is determined by","['Shape and size of the particle', 'Thickness of the platinum matrix', 'Speed of increase of furnace heat', 'Using powder of same particle size']",A,A,1,"The strength of condensation porcelain powderise to
subdue shoplifting is check by",A,1,"Teh efefctiveness of condening porcelai powder to
reduc shrinkage is detrmined by",A,1,"The effectiveness of condensing white porcelain powder to
reduce shrinkage is determined by",A,1,50
Which of the following component acts as an accelerator in ZOE impression paste?,"['Zinc Sulphate & Zinc chloride', 'Zinc chloride & Eugenol', 'Zinc Sulphate & Eugenol', 'Glycerin']",A,A,1,Which of the watch ingredient represent as an gas in ZOE belief glue?,B,0,Which of the followuing coponent acts as an acceleratoBr in ZUOE impressioxn paWte?,B,0,Which of the following component acts as an ingredient in ZOE impression paste?,C,0,50
"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?","['HIV', 'HAV', 'HBV', 'HCV']",B,C,0,"SD plasm destruct lipoid envelop virus. on SD plasma transfusion, which of the come contagion is the belike theory?",C,0,"SD plsama destroys Xipid envelpoed virus. rOn SsD placsma transfusion, which of the Vollowing ifnection is the likgely possibility?",C,0,"RH plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",C,0,50
Which TCA intermediate is used in haem synthesis:,"['Fumarate', 'Alpha keto gluterate', 'Malate', 'Succinyl CoA']",D,D,1,Which TCA arbitrate is use in heme deduction:,D,1,Which TZA intermediatIe is xsed in hem synthesis:,D,1,Which TCA intermediate is used in haem ics synthesis:,D,1,50
"A patient of hypeension on Metoprolol, Verapamil was given. This is will result in?","['Atrial fibrillation', 'Bradycardia with AV Block', 'Torsades De pointes', 'Tachycardia']",B,B,1,"ampere patient of hypeension on metoprolol, Isoptin was render. This is will consequence in?",B,1,"A pEtient of hypeensiCon on Metporolol, Veapamil was give. Tgis is will resutl in?",B,1,"A patient of hypeension on Metoprolol, attention was given. This is will result in?",B,1,50
"Which of the following is a common osseous lesion in
periodontitis is","['Exostosis', 'crater', 'buttressing bone', 'hemiseptum']",B,B,1,"Which of the followers is a rough-cut osteal wound in
periodontitis is",B,1,"Whih of the followinI is a cmomon osseoucs leson in
peiodontitis is",B,1,"Which of the following is typically a common osseous lesion in
periodontitis is",B,1,50
Migratory motor complexes in the gut reappear after intervals of:,"['60 minutes', '90 minutes', '120 minutes', '150 minutes']",B,B,1,migratory drive complexes in the catgut re-emerge after interval of:,B,1,Mgiratory motor complexse in the Ngut reappea after intenvals of:,B,1,Migratory brain complexes in the gut reappear after intervals of:,B,1,50
Which of the following movement(s) is /are involved in the opening of the mouth?,"['Only hinge (rotation)', 'Only translation', 'Hinge followed by translation', 'Translation followed by hinge']",C,C,1,Which of the comply cause(s) is /are need in the unfold of the verbalize?,C,1,Wihch of the fololwing bovement(s) is /are inolved in the opesing of the moutMh?,C,1,Which of the following movement(number s) is /are involved in the opening of the mouth?,C,1,50
A 6-month child presented with diarrhea and vomiting for three days. Which of the following enterotoxin is most likely responsible for the condition?,"['NSP4', 'NSP6', 'VP3', 'VP7']",A,A,1,amp 6-month fry introduce with diarrhoea and purge for triad daytime. Which of the pursuit enterotoxin is most belike creditworthy for the specify?,A,1,A 6m-onth cihld npresented with diarrhea and vomitikg for trhee day. Wlhich of the folldwing entertoxin is most likeyl responsible for the clndition?,A,1,A 6-month child presented with diarrhea nausea and vomiting for three days. Which of the following enterotoxin is most likely responsible for the condition?,A,1,50
Which of the following is considered as high risk infant?,"['Working mother', 'Antenatal preeclampsia', 'Third child', 'Twins']",A,A,1,Which of the pursual is study as luxuriously endangerment baby?,A,1,Whic of the follmwing is considered as hihg rTisk nfant?,D,0,Which of the aforementioned following is considered as high risk infant?,A,1,50
The wave ' V ' in BERA represents activity in which of the following ?,"['Lateral lemniscus', 'Superior olivary complex', 'Cochlear nerve', 'Cochlear nucleus']",A,C,0,The roll ' 5 ' in BERA symbolise action in which of the watch ?,A,1,AThe wvae ' V ' in BNERA represtents actiivty in which of the followign ?,B,0,The wave ' V ' in BERA represents seasonal activity in which of the following ?,C,0,50
Child presents with hypotonia and seizures. It was confirmed to be zellweger syndrome. Which of the following accumulates in brain?,"['Glucose', 'Lactic acid', 'Long chain fatty acid', 'Triglycerides']",C,C,1,tiddler salute with hypotonicity and raptus. IT was reassert to be zellweger syndrome. Which of the espouse cumulate in genius?,C,1,Chid presents with hypotona and seizGures. ID was confirmed to be zelEweger syndorme. Whih of the followig accumulatse in bran?,C,1,Child presents with hypotonia and seizures. It was confirmed to be zellweger 's syndrome. Which of the following accumulates in brain?,C,1,50
Postherpetic neuralgia is defined as pain lasting beyond how many weeks?,"['1 week', '2 weeks', '3 weeks', '4 weeks']",D,D,1,Postherpetic neuralgy is fix as botheration survive beyond how many week?,D,1,Postherpetic nuralgia is defned as pain lasting beond how amny wegeks?,D,1,Postherpetic neuralgia is defined as pain lasting beyond knowing how many weeks?,D,1,50
Which of the following is the most commonly used drug for management of community acquired pneumonia?,"['Vancomycin', 'Ceftriaxone', 'Azithromycin', 'Streptomycin']",C,C,1,Which of the watch is the most unremarkably secondhand dose for direction of community take pneumonia?,C,1,Waich of the followng is the most commolny usyd durg for manaegment of commukity acquired pneumonNa?,C,1,Which of the following is the most commonly used drug combinations for management of community acquired pneumonia?,C,1,50
What would be the ideal management of a woman with infeilty who is detected to have bilateral cornual block on hysterosalpingography?,"['Tuboplasty', 'In-vitro feilization', 'Hydrotubation', 'Hysteroscopy and laparoscopy']",D,D,1,What would be the nonsuch direction of a char with infeilty who is notice to have isobilateral cornual blocking on hysterosalpingography?,D,1,Wht Bould be the ideal manIgement of a woVan with infilty who is dteected to have bilaterl cornul blrock on hysterosalpingoraphy?,D,1,What would be the ideal management of a woman with infeilty who is detected to have bilateral clot block on stool?,D,1,50
What is the use of the given instrument:,"['To hold bone and plate', 'To hold bone fragments with traction', 'To cut the bone', 'For creating a gap in wound']",A,A,1,What is the utilisation of the hand cat's-paw:,A,1,nhat is the Cse of the gipen uinstrument:,A,1,What is the use of implementing the given instrument:,A,1,50
"For primary herpes simplex, the diagnosis is made by which gene","['Culture with giernsa stain', 'Culture with wright strain', 'Routine cytology', 'Flourescent stain for cytology']",D,D,1,"For main herpes simplex, the diagnosing is fix by which cistron",D,1,"For primary heres simplx, the diagnksis is maed by which gend",A,0,"For transmitting primary herpes simplex, the diagnosis is made by which gene",D,1,50
A 27-year-old female presented to OPD of infeility clinic. She was prescribed bromocriptine. What could be the possible reason?,"['Hyperprolactinemia', 'Polycystic ovarian disease', 'Hypogonadotropic hypogonadism', 'Pelvic inflammatory disease']",A,A,1,angstrom 27-year-old distaff salute to OPD of infeility clinic. She was dictate bromocriptine. What could be the potential cause?,A,1,A 27-Qear-old feamle zresented to OPD of infeiliy clinwc. She was presCcribed bromocriptiQe. What could be the Nossible Beason?,A,1,A 27-year-old female presented to OPD of infeility disease clinic. She was prescribed bromocriptine. What could be the possible reason?,A,1,50
In which of the following heart diseases maternal mortality is found to be highest ?,"[""Eisenmenger's complex"", 'Coarctation of aorta', 'Mitral stenosis', 'Aortic stenosis']",A,A,1,in which of the comply middle disease enate mortality is observe to be high-pitched ?,A,1,Irn which of the following heatr diseasse mauernal mortlaity is foudn to be highesJt ?,C,0,In which causes of the following heart diseases maternal mortality is found to be highest ?,A,1,50
Which of the following is the most useful parameter according to WHO in assessing adequacy of sperms for feilization?,"['Spermatocyte count', 'Spermatocyte motility', 'Semen volume', 'Spermatocyte morphology']",D,D,1,Which of the trace is the most utile argument concord to WHO in value sufficiency of spermatozoon for feilization?,B,0,hich of the follwing is the most useul parameter accocding to WO in assesYing gadequacy of spIrms for feiliRation?,A,0,Which of the following is the most useful parameter according to WHO in assessing adequacy level of sperms for feilization?,D,1,50
"A male child presented with coarse facies, protuberant abdomen , frontal head enlargement, thickening of cardiac valve, hepatosplenomegaly, hearing impairement. What is the most probable diagnosis?","[""Hurler's disease"", ""Hunter's disease"", 'Fragile X syndrome', ""Tay Sach's disease""]",B,B,1,"adenine manly tiddler face with rough-cut facies, bulging abdomen , frontage headway blowup, knob of cardiac valve, hepatosplenomegaly, see impairement. What is the most probable diagnosing?",A,0,"A mal chilod presened with carse facies, protpberant abdoTmen , frontal heaV enlargement, thickening of cradiac valvue, hezpatosplenomegaly, hearing impairement. What is the most porbable diagnlsis?",B,1,"A male child presented with exaggerated facies, protuberant abdomen , frontal head enlargement, thickening of cardiac valve, ADHD, hearing impairement. What is the most probable diagnosis?",B,1,50
In dental composite 75 % by weight filler is approximately what % volume of filler?,"['85', '90', '60', '50']",D,C,0,inch dental composite lxxv % by slant filler is some what % mass of makeweight?,C,0,I dental composite H5 % by weight fillr is approximateqly what % olume of fillre?,B,0,In average dental composite 75 % by weight filler is approximately what % volume of filler?,C,0,50
Etching of dentin does not include:,"['Removal of smear layer', 'Exposure of collagen fibres', 'Opening of dentinal tubules', 'Increases surface energy']",D,D,1,etching of dentine does not admit:,A,0,Edching of denPtin does not includ:,D,1,Etching of dried dentin does not include:,D,1,50
In case of Fracture of mandible; alveolar border experiences which force,"['Tension', 'Compression', 'Torsion', 'Rotation']",A,A,1,IN causa of break of mandible; alveolar skirt experiences which thrust,A,1,In case of Fractre of marndible; alveolar beorder experieces which forUce,D,0,In Terms of Fracture of mandible; alveolar border experiences which force,A,1,50
Father of statistics,"['John Snow', 'John Graunt', 'MacMahon', 'John M. Last']",B,B,1,Padre of statistics,B,1,Fathr of statistics,B,1,University of statistics,B,1,50
"What is the advantage of chromic gut over plain
gut suture in deep wounds?","['Greater strength', 'Greater ease of use', 'Delayed resorption', 'Less tissue irritation']",C,C,1,"What is the vantage of chromic catgut over unmixed
intestine sutura in trench wounding?",C,1,"WhMt is the advaTtage of chroic gut over plaiNn
guZ suure in dep wounds?",C,1,"What is the advantage of chromic gut over plain
tissue suture in deep wounds?",C,1,50
Haglund's deformity is seen in which joint?,"['Elbow', 'Wrist', 'Knee', 'Ankle']",D,D,1,Haglund's disfiguration is regard in which articulate?,D,1,HaXlund's edformity is seen in which jiont?,B,0,Haglund's deformity is seen upon in which joint?,D,1,50
"A non-painful, slowly enlarging benign neoplasm appears as a submucosaL lu nip and exhibits pseudoepitheliomatous hyperplasia in the overlying epithelium, is most probably:","['Fibroma', 'Rhabdomyoma', 'Granular cell tumour', 'Papilloma']",C,C,1,"angstrom non-painful, easy dilate benignant tumour seem as a submucosaL lutetium savor and show pseudoepitheliomatous hyperplasia in the overlie epithelium, is most belike:",C,1,"A nonpainful, slowlq xnlarging beingn neoplasm appears as a submSucosaL ul niE and exibits pseudoepitheliomatous hyperplaMsia in the overlying epitelium, is most probablhy:",C,1,"A non-painful, mildly enlarging ovarian neoplasm appears as a submucosaL lu nip and exhibits pseudoepitheliomatous hyperplasia in the overlying epithelium, is most probably:",C,1,50
"White flecks yellow or brown spots on surface of teeth covering, giving papery white appearance","['Mottled enamel', 'Incipient caries', 'Dental stains', 'Smooth caries']",A,A,1,"ashen flake yellow or brown distinguish on aerofoil of teeth application, giving papery Caucasian show",A,1,"White fleAks yellwo or rbown spots on surface of tVeth coveWing, gviing papery white apparance",A,1,"White flecks yellow ing or brown spots on surface of teeth covering, giving papery white appearance",A,1,50
Which of the following intravenous anesthetic agents is contraindicated in epileptic patients posted for general anaesthesia,"['Ketamine', 'Thiopentone', 'Propofol', 'Midazolam']",A,A,1,Which of the chase endovenous anesthetic broker is contraindicate in epileptic patient brand for oecumenical anesthesia,A,1,Whiceh of the followijg inravenous anesthetGic agents is contraindicated in epilepYtic patients posetd for geenral anaestheJsia,A,1,Which of the following intravenous anesthetic removal agents is contraindicated in epileptic patients posted for general anaesthesia,A,1,50
"1,1,1,1 Tetra-floroethylene is applied during cold test testing with?","['# 4 Cotton pellet', '# 2 Cotton pellet', '# 6 Cotton pellet', '# 8 Cotton pellet']",B,B,1,"single,unity,single,I Tetra-floroethylene is hold during stale test testing with?",B,1,"1,1,1,1 Tetra-floroethylenme is applieX during colv tset tesitng with?",B,1,"1,1,1,1 Tetra-floroethylene is applied during cold test testing infused with?",B,1,50
"In which one of the following mixed dentition analysis of deciduous dentition, there is no use of radiographs?","[""Carey's analysis"", ""Moyer's analysis"", ""Nance Carey's analysis"", ""Pont's index""]",B,A,0,"IN which unitary of the pursual shuffle teeth psychoanalysis of deciduous odontiasis, there is no usance of shadowgraph?",A,0,"Io which oFne of the folloiwng mixde denittion anElysis of deiduous dentition, there is no uhe of radiogrphs?",C,0,"In states which one of the following mixed dentition analysis of deciduous dentition, there is no use of radiographs?",D,0,50
Organic component of bone comprises of:,"['35% collagen', '35% noncollagenous protein', '65% noncollagenous protein', '90% collagen protein']",D,A,0,constitutional component of drum be of:,A,0,Organmc copmonent of bone comprses of:,C,0,Organic component of bone comprises layer of:,A,0,50
